hotel_name,hotel_rating,cuisine,price,distance,location
Hanging Garden - The Crown,4.2,"North Indian, Goan, Continental, Chinese, Biryani, Fast Food, Desserts, Beverages","₹1,900 for two",340 m," Panaji, Goa"
Noaa Social Dining,4.2,"Chinese, Pizza, Asian, Oriental, Bar Food","₹2,000 for two",7.3 km," Candolim, Goa"
Wok And Grill,-,"Chinese, North Indian, Fast Food, Seafood",₹550 for two,12.7 km," Mapusa, Goa"
Café Majestique,4.2,"North Indian, Continental, Goan, Chinese, Seafood, Fast Food, Desserts, Beverages",₹950 for two,30.2 km," Benaulim, Goa"
Tushar Juice Center,3.5,"Beverages, Shake, Juices",₹200 for two,11.2 km," Baga, Goa"
Indian Oven,4.1,"North Indian, Mughlai, Biryani, Desserts","₹1,400 for two",6.3 km," Candolim, Goa"
The Kitchen On Top,4.3,"North Indian, Chinese, Asian, Mughlai, Fast Food, Continental, Desserts, Beverages",₹800 for two,27.3 km," Margao, Goa"
The HangOut Siolim,4.3,"North Indian, Bar Food, Chinese, Sandwich, Goan, Seafood, Desserts, Beverages","₹1,200 for two",14.8 km," Siolim, Goa"
Balos Beachside Bar ‘n’ Grill,3.9,"Beverages, Asian, Continental, Goan, North Indian","₹1,500 for two",18 km," Morjim, Goa"
Bobby's Shack,4.2,"North Indian, Chinese, Goan, Seafood, BBQ, Salad, Desserts, Beverages",₹850 for two,7.2 km," Candolim Beach, Candolim, Goa"
Showbar,4.2,"Modern Indian, Goan, Seafood, Pasta, Pizza","₹2,000 for two",6 km," Candolim, Goa"
Giani Icecream,3.8,"Shake, Ice Cream, Desserts, Beverages",₹300 for two,8.6 km," Calangute, Goa"
Tease - Vivanta Goa,4.4,"Goan, Seafood, Continental, Chinese, Beverages, Desserts","₹2,000 for two",969 m," Vivanta Goa, Panaji, Goa"
Mariposa Beach Grove,-,"Bar Food, Seafood, Goan, North Indian, Chinese, Desserts, Beverages","₹1,000 for two",53 km," Agonda, Goa"
Adega Camoens - Taj Exotica,4.3,Finger Food,"₹1,800 for two",30.2 km," Taj Exotica, Benaulim, Goa"
Patron Bar And Kitchen,4.0,"North Indian, Italian, Biryani, Continental, Chinese, Seafood, Beverages","₹1,200 for two",13.1 km," Anjuna, Goa"
Vivenda Kafe,4.1,"Cafe, Sandwich, Burger, Fast Food, Beverages, Shake, Desserts",₹700 for two,6.6 km," Bardez, Goa"
Ziba Cafe & Bistro,4.5,"North Indian, Mughlai, Fast Food, Goan, Asian, Bar Food, Beverages","₹1,200 for two",10.8 km," Baga, Goa"
Haya Family Restaurant,3.5,"South Indian, Chinese, Fast Food, North Indian, Bengali, Sichuan",₹500 for two,9.1 km," Calangute, Goa"
The Garden,4.3,"North Indian, Chinese, Goan, Mughlai, Seafood, Fast Food, Desserts, Beverages","₹1,400 for two",26.5 km," Colva, Goa"
German Bakery,4.4,"Seafood, Fast Food, North Indian, Beverages, Salad, Desserts, Asian","₹1,000 for two",12 km," Anjuna, Goa"
Karim's,3.2,"Rolls, North Indian, Mughlai, Beverages",₹800 for two,13.3 km," Anjuna, Goa"
There,3.9,"Continental, Mexican, Burger, Fast Food",₹850 for two,9.7 km," Mapusa, Goa"
Little Lotus Andhra Cuisine,-,"Andhra, South Indian, North Indian, Fast Food, Street Food, Chinese, Beverages",₹450 for two,14.9 km," Vagator, Goa"
The Tavern - Fort Tiracol Heritage Hotel,4.3,"North Indian, Continental, Italian, Goan, Fast Food, Beverages","₹2,500 for two",29 km," Arambol, Goa"
Swad Wada Pav,New,"Street Food, South Indian",₹200 for two,27.5 km," Aquem, Goa"
Kamlabai Restaurant & Bar,3.8,"Goan, North Indian, Chinese, Continental, Pasta, Momos, Salad, Biryani","₹1,000 for two",10.6 km," Mapusa, Goa"
Martin's Place- The Village Bistro & Pub,3.8,"Goan, Seafood, Asian, North Indian, Biryani","₹1,400 for two",33 km," Navelim, Goa"
Pizza Mia,4.3,"Pizza, Italian, Salad, Desserts",₹800 for two,2.5 km," Panaji, Goa"
Prime Rose,4.4,"Steak, Healthy Food, Chinese, Mexican, Burger, Pizza, Seafood, Beverages","₹1,800 for two",6 km," Penha de Franca, Goa"
Krunch Cafe,4.1,"North Indian, Burger, Sandwich, Fast Food",₹500 for two,10.5 km," Mapusa, Goa"
Vasco Square,3.9,"North Indian, Chinese, Goan, Mughlai, Continental, Seafood, Fast Food, Desserts","₹1,100 for two",11.2 km," Vasco, Goa"
Zodiac - All Day Dining,4.1,"Goan, North Indian, Asian, Oriental, Italian, Continental, Desserts, Beverages","₹1,200 for two",30.2 km," Benaulim, Goa"
Terry's,4.3,"Goan, Seafood, North Indian, Chinese, Continental, Biryani, Desserts, Beverages","₹1,600 for two",841 m," Penha de Franca, Goa"
House Of Nomad,3.9,"Bar Food, Goan, Seafood","₹1,800 for two",6.3 km," Candolim, Goa"
Kokum Curry,-,"Goan, Continental, North Indian","₹1,000 for two",91 m," Panaji, Goa"
Your Highness,4.1,"North Indian, Mughlai, Continental, Asian, Goan, Seafood, Beverages, Desserts","₹1,200 for two",9.9 km," Baga, Goa"
Villa Nova - Restaurant & Pizzeria,4.5,"Continental, Italian, Salad, Pizza, Pasta, Desserts, Bar Food, Beverages","₹1,400 for two",8.8 km," Bardez, Goa"
Al Zargham Family Restaurant,-,"Arabian, North Indian, Chinese, Mughlai, Mandi, Beverages, Desserts",₹800 for two,28.7 km," Margao, Goa"
John Seagull Restaurant & Bar,3.9,"North Indian, Chinese, Continental, Goan, Salad, Desserts",₹950 for two,14.4 km," Bogmalo, Goa"
Ben And Sand,3.9,"Goan, Seafood, North Indian, Chinese, Biryani, Sichuan",₹600 for two,27.3 km," Colva, Goa"
Robin's Ark,4.5,"North Indian, Seafood, Continental, Fast Food, Goan, Italian, Desserts, Beverages","₹1,400 for two",38.2 km," Cavelossim, Goa"
Caravela - Taj Holiday Village Resort & Spa,4.3,"Seafood, Mediterranean, North Indian","₹3,000 for two",6.1 km," Vivanta By Taj, Holiday Village, Candolim, Goa"
Perfect Cup,4.4,"Cafe, Continental, Beverages, Desserts","₹1,000 for two",2.6 km," Panaji, Goa"
Planet Dailies - Planet Hollywood,4.4,"Asian, Continental, North Indian, South Indian, Chinese, Desserts","₹1,800 for two",21.6 km," Majorda, Goa"
Filomena's Kitchen,-,"North Indian, South Indian, Beverages","₹1,000 for two",14.5 km," Vasco, Goa"
Dhananjay Fish Curry,4.3,Goan,₹300 for two,9.6 km," Baga, Goa"
Yaki Zushi,4.5,"Japanese, Thai, Chinese, Sushi, Beverages","₹1,700 for two",5.2 km," Penha de Franca, Goa"
Bibhitaki Vegan & Vegetarian Cafe,3.1,"Cafe, Fast Food, Healthy Food, Desserts, South Indian, Beverages, Coffee",₹650 for two,58.5 km," Palolem, Goa"
Shagun,4.1,"North Indian, Chinese, Mughlai, Biryani, Sichuan",₹600 for two,29.1 km," Margao, Goa"
Cafe Central,4.5,"Bakery, Desserts, Street Food",₹250 for two,131 m," Panaji, Goa"
Toast,4.2,"Continental, Salad, Asian, Italian, North Indian, Desserts, Beverages","₹2,000 for two",19.1 km," Ashwem, Goa"
La Cafe,-,"North Indian, Chinese, Fast Food, Sandwich, Continental, Goan, Desserts","₹1,200 for two",10.5 km," Baga, Goa"
Orchid - Fortune Miramar,3.9,"North Indian, Chinese, Oriental, Continental, Fast Food, Street Food, Desserts, Beverages","₹2,000 for two",2.4 km," Fortune Miramar, Panaji, Goa"
Baga Paralia Restaurant & Bar,4.0,"North Indian, Chinese, Fast Food, Continental, Mughlai, Beverages","₹1,200 for two",10.1 km," Baga, Goa"
De Stress,-,"Fast Food, Beverages",₹450 for two,4.3 km," Penha de Franca, Goa"
Quality Kitchen,-,"Goan, Seafood, Fast Food",₹500 for two,10.7 km," Baga, Goa"
Shining Star Beach Shack,3.7,"North Indian, Goan",₹950 for two,10.6 km," Baga, Goa"
Lounge Terminal,4.5,"Chinese, Goan","₹1,800 for two",1.7 km," Caculo Mall, Panaji , Goa"
9 Bar,3.7,"Finger Food, Greek, Fast Food","₹1,200 for two",14.7 km," Vagator, Goa"
Over The Flames,4.1,"Finger Food, Chinese, North Indian, Continental, Goan, Italian, Desserts, Beverages","₹1,200 for two",7.6 km," Calangute, Goa"
Sai Leela Family Restaurant,-,"South Indian, North Indian, Sandwich, Chinese, Sichuan, Biryani, Shake, Beverages",₹500 for two,8.5 km," Calangute, Goa"
The Belgian Waffle Co.,3.9,"Waffle, Pancake, Desserts, Beverages, Ice Cream",₹300 for two,583 m," Panaji, Goa"
O'mio Gelateria,4.3,"Fast Food, Desserts, Beverages, Mexican, Rolls",₹500 for two,4.3 km," Porvorim, Goa"
Konkani Kitchen,2.3,"Goan, Konkan",₹500 for two,9.7 km," Baga, Goa"
The Chocolate Room,3.8,"Cafe, Beverages, Pancake, Desserts, Italian, Mexican, Pizza, Panini",₹700 for two,9 km," Calangute, Goa"
Fuel Bar Goa,-,"Goan, Sandwich, Wraps, Fast Food",₹300 for two,1.9 km," Penha de Franca, Goa"
Amuz By Hemant Oberoi,3.9,"Goan, North Indian, Continental, Burger, Fast Food, Beverages","₹2,000 for two",13.5 km," Anjuna, Goa"
Pings Bia Hoi,4.3,"Chinese, Thai, Finger Food, Seafood, Beverages, Desserts","₹1,700 for two",5.7 km," Porvorim, Goa"
Om Lawn Family Bar and Restaurant,3.9,"North Indian, Fast Food, Chinese, Goan, Biryani, Seafood, Salad, Mughlai",₹950 for two,16.3 km," Siolim, Goa"
Down The Road,4.1,"North Indian, Continental, Chinese, Fast Food, Mongolian, Goan, Sichuan, Beverages","₹1,200 for two",608 m," Panaji, Goa"
The Cornerstone Grill,4.3,"Finger Food, Chinese, Seafood, Steak, Oriental, Goan","₹1,200 for two",21.4 km," Majorda, Goa"
De Little Goa Kitchen & Bar,4.2,"Continental, Thai, Chinese, North Indian, Goan, Seafood, Desserts","₹1,200 for two",8 km," Calangute, Goa"
Kala Bahia,3.8,"Italian, Continental, Pizza, Desserts",₹950 for two,59.2 km," Palolem, Goa"
Fiesta,4.3,"Italian, Chinese, North Indian","₹1,200 for two",10.3 km," Baga Beach, Baga, Goa"
Goa's Ark,4.4,"Mediterranean, Sandwich, Pasta, Fast Food, Salad, Desserts, Beverages","₹1,300 for two",12.7 km," Anjuna, Goa"
Prana Mandrem,-,"Cafe, Beverages, Goan, Continental, Desserts","₹1,200 for two",22.1 km," Mandrem, Goa"
Latest Recipe - Le Méridien Goa,4.3,"North Indian, Chinese, Continental, Goan","₹3,000 for two",7.7 km," Le Méridien Goa, Calangute, Goa"
